full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,spread,rank_funnel
Josh Allen,QB,BUF,CLE,26.216,16.1752959180375,36.2567040819625,Medium Confidence,61.70009123450373,Volatile,10.040704081962502,10.12,44.68,26.25,24.610000000000003,-10.0,20.0
Jalen Hurts,QB,PHI,WAS,25.041142857142855,17.755343331677256,32.32694238260845,Medium Confidence,70.9046844745452,Volatile,7.285799525465598,4.4,30.86,25.5,19.768571428571427,-6.5,19.0
Jared Goff,QB,DET,PIT,23.59914285714286,17.244201887686515,29.954083826599202,Medium Confidence,73.07130598799327,Safe,6.354940969456343,11.34,33.96,29.25,18.44857142857143,-7.0,11.0
Drake Maye,QB,NE,BAL,22.493428571428574,17.90090334971363,27.085953793143517,High Confidence,79.5828136776426,Safe,4.592525221714945,12.12,27.28,22.75,20.505714285714284,3.0,14.0
Caleb Williams,QB,CHI,GB,21.397142857142857,12.735014093075982,30.05927162120973,Medium Confidence,59.51735789259706,Volatile,8.662128764066875,5.68,38.7,22.5,18.82857142857143,1.5,16.0
J.J. McCarthy,QB,MIN,NYG,21.376,12.726131297445692,30.025868702554313,Medium Confidence,59.534671114547585,Volatile,8.64986870255431,2.48,24.5,23.25,15.01,-3.0,28.0
Trevor Lawrence,QB,JAX,DEN,21.29,12.412599132975567,30.167400867024433,Medium Confidence,58.302485359208866,Volatile,8.877400867024432,8.78,44.3,21.25,19.4,3.0,3.0
Dak Prescott,QB,DAL,LAC,21.23314285714286,13.937767233194116,28.528518481091602,Medium Confidence,65.64156482612009,Volatile,7.295375623948742,7.82,30.96,25.5,20.08857142857143,-1.5,23.0
Justin Herbert,QB,LAC,DAL,21.006,13.516015918677695,28.495984081322305,Medium Confidence,64.34359668036606,Volatile,7.489984081322304,4.34,29.9,24.0,18.11,1.5,8.0
C.J. Stroud,QB,HOU,LV,20.924,13.816775506570796,28.031224493429203,Medium Confidence,66.03314617936722,Volatile,7.107224493429203,4.36,28.76,26.5,15.639999999999999,-14.5,21.0
Baker Mayfield,QB,TB,CAR,20.825428571428574,14.340736876858479,27.31012026599867,Medium Confidence,68.86166509213278,Safe,6.484691694570096,4.08,26.66,24.25,16.825714285714287,-3.0,17.0
Brock Purdy,QB,SF,IND,20.588,15.48610362054788,25.689896379452122,High Confidence,75.21907723211521,Safe,5.101896379452121,10.32,26.2,26.25,18.563333333333333,-6.0,2.0
Matthew Stafford,QB,LAR,SEA,20.497714285714284,14.134426034924655,26.861002536503914,Medium Confidence,68.95610816848749,Safe,6.363288250789631,9.34,27.4,23.0,20.36285714285714,-1.5,6.0
Bo Nix,QB,DEN,JAX,20.243142857142857,11.541179456107029,28.945106258178683,Medium Confidence,57.01278471210654,Volatile,8.701963401035828,7.8,39.96,24.25,19.18857142857143,-3.0,1.0
Jaxson Dart,QB,NYG,MIN,20.203454545454548,10.127688118481904,30.27922097242719,Medium Confidence,50.12849706319393,Volatile,10.075766426972644,-0.3,29.42,20.25,18.18909090909091,3.0,27.0
Jacoby Brissett,QB,ARI,ATL,19.5432,12.632826477373149,26.453573522626847,Medium Confidence,64.6405219072268,Safe,6.91037352262685,0.2,24.84,22.5,19.072,2.5,24.0
Lamar Jackson,QB,BAL,NE,19.444545454545455,10.767756354255587,28.12133455483532,Medium Confidence,55.37674500762609,Volatile,8.676789100289868,6.72,29.36,25.75,17.79090909090909,-3.0,7.0
Bryce Young,QB,CAR,TB,18.142307692307693,10.061650191768171,26.222965192847212,Medium Confidence,55.45959401865008,Volatile,8.080657500539521,2.56,31.82,21.25,14.153846153846153,3.0,4.0
Joe Burrow,QB,CIN,MIA,17.6952,9.43083553562647,25.95956446437353,Medium Confidence,53.29600985366918,Volatile,8.26436446437353,7.04,25.36,26.5,13.591999999999999,-2.5,26.0
Marcus Mariota,QB,WAS,PHI,17.426666666666666,9.569077270986135,25.284256062347197,Medium Confidence,54.91054287099925,Volatile,7.85758939568053,-1.1,24.26,19.0,14.311111111111112,6.5,25.0
Sam Darnold,QB,SEA,LAR,16.82657142857143,8.61881457742918,25.03432827971368,Medium Confidence,51.22145419829543,Volatile,8.20775685114225,3.12,28.64,21.5,15.144285714285715,1.5,5.0
Aaron Rodgers,QB,PIT,DET,16.43892307692308,9.914842239806577,22.963003914039582,Medium Confidence,60.313210259649,Safe,6.524080837116502,2.68,25.66,22.25,14.881538461538462,7.0,10.0
Jordan Love,QB,GB,CHI,16.31257142857143,9.584332758280699,23.040810098862163,Medium Confidence,58.754273047925246,Safe,6.728238670290733,7.06,28.3,24.0,16.954285714285714,-1.5,22.0
Tua Tagovailoa,QB,MIA,CIN,15.670000000000002,8.989978120717545,22.35002187928246,Medium Confidence,57.370632550845855,Safe,6.680021879282456,1.6,24.2,24.0,12.549999999999999,2.5,30.0
Kirk Cousins,QB,ATL,ARI,15.053142857142857,5.86676266947476,24.239523044810955,Low Confidence,38.973672974151874,Volatile,9.186380187668098,1.16,26.92,25.0,10.088571428571429,-2.5,18.0
Tyler Shough,QB,NO,NYJ,14.356571428571428,8.01230667699499,20.700836180147867,Medium Confidence,55.809332450012874,Safe,6.344264751576437,5.32,22.26,22.5,14.594285714285714,-4.5,29.0
Shedeur Sanders,QB,CLE,BUF,13.678799999999999,1.2020007309566747,26.15559926904332,Low Confidence,8.787325868911566,Boom/Bust,12.476799269043324,2.48,34.46,16.25,13.047999999999998,10.0,32.0
Cam Ward,QB,TEN,KC,12.523714285714288,7.264836914184199,17.782591657244375,Medium Confidence,58.008644627665674,Safe,5.2588773715300885,2.48,23.94,17.0,10.672857142857143,3.5,12.0
Tyrod Taylor,QB,NYJ,NO,12.425999999999998,4.058602156783348,20.79339784321665,Low Confidence,32.66217734414411,Volatile,8.36739784321665,-0.76,21.28,18.0,10.743333333333332,4.5,31.0
Geno Smith,QB,LV,HOU,12.01476923076923,4.5612190527392835,19.46831940879918,Low Confidence,37.9634345456942,Volatile,7.453550178029947,2.78,27.26,12.0,12.824615384615385,14.5,13.0
Philip Rivers,QB,IND,SF,11.670000000000002,5.670000000000002,17.67,Medium Confidence,48.58611825192802,Safe,6.0,7.3,7.3,20.25,7.3,6.0,9.0
Gardner Minshew,QB,KC,TEN,7.236,1.2359999999999998,13.236,Low Confidence,17.08126036484245,Safe,6.0,-0.3,-0.12,20.5,-0.24,-3.5,15.0
