full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,spread,rank_funnel
Jahmyr Gibbs,RB,DET,PIT,25.0625,10.711063268308772,39.41393673169123,Low Confidence,42.73740954936168,Boom/Bust,14.351436731691228,5.8,55.4,29.25,22.67142857142857,-7.0,11.0
Christian McCaffrey,RB,SF,IND,24.122499999999995,16.08529256851589,32.1597074314841,Medium Confidence,66.68169786927513,Volatile,8.037207431484104,9.8,39.1,26.25,24.585714285714285,-6.0,2.0
De'Von Achane,RB,MIA,CIN,22.695,15.393502336378644,29.996497663621355,Medium Confidence,67.82772565048973,Volatile,7.301497663621356,12.8,40.5,24.0,20.75714285714286,2.5,30.0
Bijan Robinson,RB,ATL,ARI,22.314999999999998,13.231552912632175,31.39844708736782,Medium Confidence,59.294433845539665,Volatile,9.083447087367823,5.8,35.8,25.0,20.985714285714288,-2.5,18.0
James Cook,RB,BUF,CLE,20.2925,11.91189706855733,28.67310293144267,Medium Confidence,58.70098345968871,Volatile,8.38060293144267,4.9,33.6,26.25,18.97142857142857,-10.0,20.0
Chase Brown,RB,CIN,MIA,19.52,14.19950262591059,24.84049737408941,Medium Confidence,72.74335361634523,Safe,5.32049737408941,6.0,25.5,26.5,14.4,-2.5,26.0
Jonathan Taylor,RB,IND,SF,17.957500000000003,5.055117138044482,30.859882861955526,Low Confidence,28.150450441567486,Boom/Bust,12.902382861955521,7.7,49.6,20.25,23.00714285714286,6.0,9.0
Josh Jacobs,RB,GB,CHI,17.70346153846154,9.759975253525035,25.646947823398044,Medium Confidence,55.130321447707075,Volatile,7.943486284936505,4.0,32.0,24.0,17.76923076923077,-1.5,22.0
Jawhar Jordan,RB,HOU,LV,17.4,10.399999999999999,24.4,Medium Confidence,59.770114942528735,Volatile,7.0,13.8,13.8,26.5,13.8,-14.5,21.0
Javonte Williams,RB,DAL,LAC,16.835,11.026362059374442,22.64363794062556,Medium Confidence,65.49665612934032,Volatile,5.808637940625558,7.3,26.9,25.5,16.07857142857143,-1.5,23.0
Bucky Irving,RB,TB,CAR,16.772499999999997,11.548562422891727,21.996437577108267,Medium Confidence,68.85415068052902,Safe,5.223937577108269,8.1,25.5,24.25,16.042857142857144,-3.0,17.0
Saquon Barkley,RB,PHI,WAS,16.544999999999998,9.355535027319029,23.734464972680968,Medium Confidence,56.545995934234085,Volatile,7.1894649726809705,5.2,33.4,25.5,14.592857142857142,-6.5,19.0
David Montgomery,RB,DET,PIT,14.8435,7.998289434041661,21.68871056595834,Medium Confidence,53.88412055136364,Volatile,6.8452105659583395,1.2,29.4,29.25,10.930000000000001,-7.0,11.0
D'Andre Swift,RB,CHI,GB,14.833076923076923,8.334674752602186,21.33147909355166,Medium Confidence,56.18978985833554,Volatile,6.498402170474737,1.9,25.5,22.5,14.761538461538462,1.5,16.0
Kyren Williams,RB,LAR,SEA,14.789999999999997,8.235993591702856,21.34400640829714,Medium Confidence,55.68623118122284,Volatile,6.554006408297141,5.8,31.1,23.0,16.05,-1.5,6.0
Woody Marks,RB,HOU,LV,14.529999999999998,7.218049823431822,21.841950176568172,Medium Confidence,49.67687421494716,Volatile,7.311950176568176,0.3,27.9,26.5,9.700000000000001,-14.5,21.0
Derrick Henry,RB,BAL,NE,14.282499999999999,7.355609414260017,21.209390585739982,Medium Confidence,51.50085359187829,Volatile,6.926890585739982,2.3,29.2,25.75,14.178571428571429,-3.0,7.0
Kenneth Gainwell,RB,PIT,DET,14.137499999999998,4.702246373890576,23.572753626109417,Low Confidence,33.260805474027066,Volatile,9.435253626109422,2.4,31.4,22.25,12.164285714285715,7.0,10.0
Travis Etienne,RB,JAX,DEN,13.5775,6.552876901902163,20.602123098097838,Medium Confidence,48.26276488235804,Volatile,7.0246230980978375,5.1,31.5,21.25,15.807142857142859,3.0,3.0
Breece Hall,RB,NYJ,NO,13.527999999999999,5.752671732310611,21.303328267689388,Low Confidence,42.524184892893345,Volatile,7.775328267689388,4.3,32.86,18.0,12.747142857142858,4.5,31.0
Alvin Kamara,RB,NO,NYJ,13.308181818181819,8.410352985655383,18.206010650708254,Medium Confidence,63.19685965039225,Safe,4.897828832526436,0.7,16.0,22.5,9.154545454545454,-4.5,29.0
Aaron Jones,RB,MIN,NYG,13.279499999999999,8.712115628174042,17.846884371825958,Medium Confidence,65.60575042866104,Safe,4.567384371825957,2.3,15.9,23.25,9.209999999999999,-3.0,28.0
TreVeyon Henderson,RB,NE,BAL,13.2525,3.1473033171046083,23.35769668289539,Low Confidence,23.748751685377172,Boom/Bust,10.105196682895391,0.5,32.3,22.75,12.75,3.0,14.0
Omarion Hampton,RB,LAC,DAL,13.235,4.201227387240277,22.268772612759722,Low Confidence,31.74331233275616,Volatile,9.033772612759723,3.5,27.5,24.0,14.171428571428573,1.5,8.0
Jordan Mason,RB,MIN,NYG,12.702499999999999,7.05314916692503,18.35185083307497,Medium Confidence,55.52567736213368,Volatile,5.649350833074969,1.6,23.6,23.25,8.385714285714286,-3.0,28.0
Jaylen Warren,RB,PIT,DET,12.598653846153843,8.819510679122052,16.377797013185635,Medium Confidence,70.00359551758382,Safe,3.779143167031791,7.8,19.8,22.25,12.823076923076922,7.0,10.0
Rico Dowdle,RB,CAR,TB,12.2975,1.95965477209859,22.63534522790141,Low Confidence,15.935391519403055,Boom/Bust,10.33784522790141,2.9,33.9,21.25,13.978571428571428,3.0,4.0
