full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,spread,rank_funnel
Trey McBride,TE,ARI,ATL,19.435714285714287,11.034376741759008,27.837051829669566,Medium Confidence,56.77371348203826,Boom/Bust,8.401337543955279,9.1,37.4,22.5,19.435714285714287,2.5,24.0
George Kittle,TE,SF,IND,17.6375,11.010512427526795,24.264487572473204,Medium Confidence,62.42671822835887,Volatile,6.626987572473204,6.9,24.7,26.25,16.1375,-6.0,2.0
Darren Waller,TE,MIA,CIN,16.450000000000003,7.807141676505397,25.09285832349461,Medium Confidence,47.45982782070149,Boom/Bust,8.642858323494606,2.7,25.6,24.0,13.450000000000001,2.5,30.0
Kyle Pitts,TE,ATL,ARI,16.12142857142857,5.513436042466953,26.729421100390187,Low Confidence,34.19942604986147,Boom/Bust,10.607992528961617,3.4,45.6,25.0,12.62142857142857,-2.5,18.0
Dallas Goedert,TE,PHI,WAS,16.046153846153846,8.335056282186338,23.757251410121356,Medium Confidence,51.944262544785424,Volatile,7.711097563967508,4.0,26.0,25.5,12.546153846153846,-6.5,19.0
Jake Ferguson,TE,DAL,LAC,14.892307692307693,8.635250138571333,21.149365246044052,Medium Confidence,57.984634194952136,Volatile,6.257057553736359,3.6,23.9,25.5,13.392307692307693,-1.5,23.0
Travis Kelce,TE,KC,TEN,14.771428571428572,8.730487665165125,20.81236947769202,Medium Confidence,59.10388167906758,Volatile,6.0409409062634465,1.8,24.1,20.5,12.771428571428572,-3.5,15.0
Brock Bowers,TE,LV,HOU,14.718181818181819,4.101137202864599,25.335226433499038,Low Confidence,27.86442818499728,Boom/Bust,10.61704461531722,3.7,43.3,12.0,14.718181818181819,14.5,13.0
Tyler Warren,TE,IND,SF,13.828571428571427,8.776164755824945,18.880978101317908,Medium Confidence,63.464001333444855,Volatile,5.052406672746482,3.7,18.3,20.25,11.828571428571427,6.0,9.0
Dalton Kincaid,TE,BUF,CLE,13.330000000000002,7.197744659951321,19.46225534004868,Medium Confidence,53.99658409565882,Volatile,6.132255340048681,3.3,22.1,26.25,11.830000000000002,-10.0,20.0
Dalton Schultz,TE,HOU,LV,12.0,6.046074339628452,17.953925660371546,Medium Confidence,50.38395283023711,Volatile,5.953925660371548,1.8,21.6,26.5,10.5,-14.5,21.0
Jake Tonges,TE,SF,IND,11.871428571428572,7.270083012531592,16.47277413032555,Medium Confidence,61.24016978065119,Volatile,4.60134555889698,4.1,17.1,26.25,10.371428571428572,-6.0,2.0
Colby Parkinson,TE,LAR,SEA,11.48,4.302906809392352,18.657093190607647,Low Confidence,37.48176663233757,Volatile,7.177093190607648,-0.6,24.5,23.0,9.48,-1.5,6.0
Harold Fannin,TE,CLE,BUF,11.135714285714286,5.407295636577317,16.864132934851256,Medium Confidence,48.55813913539604,Volatile,5.7284186491369695,4.5,25.4,16.25,11.135714285714286,10.0,32.0
Evan Engram,TE,DEN,JAX,10.466666666666665,6.390497936700802,14.542835396632528,Medium Confidence,61.05571277102678,Volatile,4.076168729965863,2.2,13.9,24.25,6.966666666666666,-3.0,1.0
Juwan Johnson,TE,NO,NYJ,10.171428571428573,5.292048318942439,15.050808823914707,Medium Confidence,52.02856493342285,Volatile,4.879380252486134,1.5,19.2,22.5,10.171428571428573,-4.5,29.0
