full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,season_avg_rec,spread,rank_funnel
Amon-Ra St. Brown,WR,DET,PIT,26.486538461538462,15.896715093117297,37.07636182995962,Medium Confidence,60.01809227053651,Boom/Bust,10.589823368421165,6.2,41.4,29.25,21.146153846153844,7.230769230769231,-7.0,11.0
Puka Nacua,WR,LAR,SEA,25.51538461538462,16.66302725876877,34.367741972000466,Medium Confidence,65.30580475248537,Volatile,8.85235735661585,4.8,36.0,23.0,22.06153846153846,7.846153846153846,-1.5,6.0
Jaxon Smith-Njigba,WR,SEA,LAR,23.828857142857146,15.921449988037818,31.736264297676474,Medium Confidence,66.81583549133985,Volatile,7.907407154819329,4.3,37.1,21.5,21.835714285714285,6.857142857142857,1.5,5.0
Drake London,WR,ATL,ARI,23.733333333333334,12.509474816762484,34.957191849904184,Medium Confidence,52.7084613065835,Boom/Bust,11.22385851657085,5.9,38.8,25.0,19.666666666666668,6.666666666666667,-2.5,18.0
Ja'Marr Chase,WR,CIN,MIA,21.957794871794874,10.675979460507602,33.23961028308214,Medium Confidence,48.620453569411296,Boom/Bust,11.281815411287273,4.6,38.1,26.5,18.853846153846153,7.769230769230769,-2.5,26.0
CeeDee Lamb,WR,DAL,LAC,21.161200000000004,17.507039509697357,24.815360490302652,High Confidence,82.73178983090445,Safe,3.654160490302648,11.5,24.2,25.5,17.880000000000003,6.3,-1.5,23.0
Rashee Rice,WR,KC,TEN,20.666,12.554467204916554,28.777532795083445,Medium Confidence,60.749381616745154,Volatile,8.111532795083447,7.4,29.4,20.5,18.7625,6.625,-3.5,15.0
George Pickens,WR,DAL,LAC,19.775142857142857,10.409916083194855,29.14036963109086,Medium Confidence,52.64142038516174,Volatile,9.365226773948002,6.0,33.4,25.5,18.014285714285712,5.785714285714286,-1.5,23.0
Jameson Williams,WR,DET,PIT,18.259666666666668,9.71349970732345,26.805833626009886,Medium Confidence,53.19647880021605,Volatile,8.546166959343218,2.0,26.9,29.25,15.733333333333334,4.333333333333333,-7.0,11.0
Zay Flowers,WR,BAL,NE,17.744904761904763,11.09318846681748,24.396621056992046,Medium Confidence,62.51478165514101,Volatile,6.651716295087282,0.6,28.1,25.75,12.807142857142859,5.071428571428571,-3.0,7.0
Nico Collins,WR,HOU,LV,17.62897435897436,11.087136618274808,24.170812099673913,Medium Confidence,62.89155791205001,Volatile,6.541837740699553,5.5,24.2,26.5,15.96923076923077,4.923076923076923,-14.5,21.0
A.J. Brown,WR,PHI,WAS,16.779846153846158,6.338115282494245,27.221577025198073,Low Confidence,37.77218947291401,Boom/Bust,10.441730871351913,1.8,35.2,25.5,14.615384615384615,4.923076923076923,-6.5,19.0
Tee Higgins,WR,CIN,MIA,16.499333333333333,7.4116335210162525,25.587033145650413,Low Confidence,44.92080601852349,Volatile,9.08769981231708,2.5,33.1,26.5,14.058333333333332,3.8333333333333335,-2.5,26.0
Courtland Sutton,WR,DEN,JAX,16.456428571428575,9.239385251223666,23.673471891633483,Medium Confidence,56.14453470946278,Volatile,7.217043320204909,1.6,24.3,24.25,13.542857142857143,4.5,-3.0,1.0
Davante Adams,WR,LAR,SEA,15.612380952380956,8.772995175704969,22.451766729056942,Medium Confidence,56.19255129927539,Volatile,6.839385776675988,6.9,26.5,23.0,15.921428571428573,4.285714285714286,-1.5,6.0
Mike Evans,WR,TB,CAR,15.509000000000002,11.332079284129678,19.685920715870324,Medium Confidence,73.06776248713442,Safe,4.176920715870324,10.1,19.2,24.25,13.3,5.0,-3.0,17.0
